STROKE,MENTIME,WOMENTIME
50FR,20.91,23.61
100FR,46.4,51.71
200FR,102,112.23
400FR,220.07,235.38
800FR,452.12,484.79
1500FR,870.67,920.48
50BK,23.55,26.86
100BK,51.6,57.13
200BK,111.92,123.14
50BR,25.95,29.16
100BR,56.88,64.13
200BR,125.48,137.55
50FLY,22.27,24.43
100FLY,49.45,55.18
200FLY,110.34,121.81
200MIX,114,126.12
400MIX,242.5,264.38
4x100FR,188.24,207.96
4x100FR,418.55,457.5
4x100MIX,206.78,229.63
